threads, size, time 
12, 3600, 20.3755
8, 3600, 33.3963
6, 3600, 39.2664
4, 3600, 53.1419
2, 3600, 98.8437
1, 3600, 170.279
12, 2400, 8.03403
8, 2400, 9.7352
6, 2400, 14.4312
4, 2400, 18.2164
2, 2400, 29.2762
1, 2400, 48.4364
