threads, size, time
12, 3600, 9.83692
8, 3600, 12.8122
6, 3600, 16.9379
4, 3600, 25.444
2, 3600, 47.8721
1, 3600, 90.5832
12, 2400, 1.34573
8, 2400, 1.52747
6, 2400, 2.05678
4, 2400, 3.46499
2, 2400, 7.05576
1, 2400, 11.2267
