threads, size, time
12, 3600, 2.41138
8, 3600, 3.28122
6, 3600, 4.25135
4, 3600, 6.4335
2, 3600, 11.4779
1, 3600, 22.4192
12, 2400, 0.715075
8, 2400, 0.959763
6, 2400, 1.25085
4, 2400, 1.88619
2, 2400, 3.34996
1, 2400, 6.54401
