size, time
1200, 0.0175384
2400, 0.0693164
3600, 0.108204
4800, 0.182257
6000, 0.32059
7200, 0.488242
8400, 0.71643
9600, 0.96253
10800, 1.3081
12000, 1.63088
13200, 2.08676
14400, 2.60624
15600, 3.25326
1200, 0.0175116
2400, 0.0699542
3600, 0.108141
4800, 0.191868
6000, 0.332987
7200, 0.50913
8400, 0.723397
9600, 0.929963
10800, 1.31704
12000, 1.69992
13200, 2.10059
14400, 2.76414
15600, 3.24671
16800, 10.7273
