size, time
1200, 0.0113748
2400, 0.0438304
3600, 0.104625
4800, 0.139978
6000, 0.225931
7200, 0.340497
8400, 0.50647
9600, 0.743791
10800, 0.977969
12000, 1.31665
13200, 1.68764
14400, 2.18202
15600, 2.71731
16800, 3.35114
18000, 3.91548
